timestamp_(min),feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
0,0.732689375,0.761747569,0.606848009,0.488745897,0.424310455,0.403608737,0.519318182,0.398791541,0.451453475,0.447076546,0.463335904,0.487324094,0.151928574,0.138458236,0.201466558,0.318796899,0.451856066,0.571500188,0.469717425,0.60988261,0.008431703,0,0.481838131,0.006535948,0.138248848
1,0.73279883,0.761854545,0.607133215,0.48878092,0.432007697,0.41025641,0.511363636,0.402567976,0.455657151,0.449474312,0.459267064,0.49465592,0.151487098,0.138011214,0.202110494,0.321463422,0.456122884,0.562225843,0.466533215,0.62981163,0.008431703,0,0.47721826,0.006535948,0.115207373
2,0.732937963,0.761593736,0.606895166,0.488791335,0.418858242,0.407723963,0.488636364,0.39652568,0.456103643,0.451282051,0.47158677,0.490333028,0.153670268,0.140762739,0.203353975,0.347219469,0.456691793,0.572001504,0.487845072,0.643598144,0.006745363,0,0.492622643,0.008714597,0.092165899
3,0.732893366,0.761656065,0.606477926,0.488802292,0.417896087,0.404241849,0.5,0.405589124,0.46001995,0.456627855,0.476909984,0.480857967,0.153425869,0.141214809,0.201345176,0.361903554,0.46053193,0.563353804,0.479512127,0.644690145,0.008431703,0,0.457064072,0.008714597,0.142857143
4,0.732787948,0.761572987,0.606777031,0.488799979,0.421103271,0.407407407,0.511363636,0.399546828,0.458507101,0.454610886,0.451031757,0.45879525,0.153334948,0.139718265,0.203096538,0.359767227,0.458825203,0.563353804,0.448298496,0.62994813,0.006745363,0,0.472223024,0.006535948,0.170506912
5,0.73265422,0.761303905,0.607815243,0.488751369,0.40314304,0.402025958,0.528409091,0.383685801,0.449681756,0.450656456,0.445800724,0.437631851,0.151298188,0.138727606,0.203049107,0.357345365,0.450149339,0.577766637,0.462757786,0.626945127,0.006745363,0,0.475962233,0.013071895,0.138248848
6,0.732544267,0.761418305,0.607594903,0.48874763,0.425914047,0.408357075,0.528409091,0.419561934,0.453379566,0.445982278,0.461350298,0.447978215,0.155825578,0.140953915,0.202059838,0.36460751,0.453705021,0.566612357,0.475289791,0.629402129,0.006745363,0.003558719,0.487324228,0.008714597,0.129032258
7,0.732574794,0.761475071,0.608642164,0.488771101,0.428479795,0.415321304,0.534090909,0.411253776,0.464791241,0.460059212,0.465147649,0.472458725,0.148853298,0.13531968,0.202176171,0.307912507,0.465083203,0.567239002,0.488203529,0.631313131,0.008431703,0.003558719,0.473796668,0.010893246,0.142857143
8,0.732439948,0.761603281,0.608881655,0.488807465,0.42751764,0.410889522,0.517045455,0.407099698,0.464057379,0.462237287,0.467959392,0.481275407,0.150478494,0.137099989,0.200295896,0.309997981,0.464514294,0.576889335,0.49318933,0.636363636,0.008431703,0,0.481318396,0.008714597,0.147465438
9,0.73257368,0.761134872,0.60908978,0.488796048,0.418216806,0.414688192,0.528409091,0.402190332,0.457763739,0.453384804,0.472148807,0.461753755,0.149040192,0.135121415,0.198622035,0.318444615,0.458256294,0.574758742,0.502262465,0.627627628,0.008431703,0,0.483108596,0.006535948,0.124423963
